,Season,Abbreviation,Team,Date,MATCHUP,W/L,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-
81,2022-23,LAL,Los Angeles Lakers,2022/10/18,LAL @ GSW,L,48.0,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,22.0,12,4,4,18,23,109,-14.0
80,2022-23,LAL,Los Angeles Lakers,2022/10/20,LAL vs. LAC,L,48.0,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,10.0,13,5,7,24,24,97,-6.0
79,2022-23,LAL,Los Angeles Lakers,2022/10/23,LAL vs. POR,L,48.0,41,92,0.446,6,33,0.182,16,20,0.8,10,30,40,26,13.0,9,9,5,24,20,104,-2.0
78,2022-23,LAL,Los Angeles Lakers,2022/10/26,LAL @ DEN,L,48.0,40,90,0.444,8,30,0.267,11,16,0.688,7,40,47,25,14.0,8,4,5,16,17,99,-11.0
77,2022-23,LAL,Los Angeles Lakers,2022/10/28,LAL @ MIN,L,48.0,37,89,0.416,9,29,0.31,19,27,0.704,12,43,55,20,22.0,8,5,8,21,21,102,-9.0
76,2022-23,LAL,Los Angeles Lakers,2022/10/30,LAL vs. DEN,W,48.0,46,96,0.479,13,30,0.433,16,20,0.8,13,38,51,24,9.0,5,5,8,17,15,121,11.0
75,2022-23,LAL,Los Angeles Lakers,2022/11/02,LAL vs. NOP,W,53.0,45,98,0.459,10,36,0.278,20,23,0.87,11,45,56,30,18.0,6,8,5,17,20,120,3.0
74,2022-23,LAL,Los Angeles Lakers,2022/11/04,LAL vs. UTA,L,48.0,40,83,0.482,11,26,0.423,25,28,0.893,9,31,40,22,11.0,6,6,3,17,22,116,-14.0
73,2022-23,LAL,Los Angeles Lakers,2022/11/06,LAL vs. CLE,L,48.0,40,87,0.46,8,27,0.296,12,21,0.571,10,33,43,24,17.0,4,4,6,26,20,100,-14.0
72,2022-23,LAL,Los Angeles Lakers,2022/11/07,LAL @ UTA,L,48.0,40,82,0.488,9,24,0.375,27,30,0.9,7,26,33,15,16.0,7,5,7,21,23,116,-23.0
71,2022-23,LAL,Los Angeles Lakers,2022/11/09,LAL @ LAC,L,48.0,40,88,0.455,10,32,0.313,11,17,0.647,8,35,43,26,16.0,7,2,7,20,24,101,-13.0
70,2022-23,LAL,Los Angeles Lakers,2022/11/11,LAL vs. SAC,L,48.0,42,88,0.477,10,25,0.4,20,26,0.769,14,27,41,22,14.0,11,5,4,22,17,114,-6.0
69,2022-23,LAL,Los Angeles Lakers,2022/11/13,LAL vs. BKN,W,48.0,44,91,0.484,11,27,0.407,17,20,0.85,12,33,45,25,9.0,3,2,5,22,17,116,13.0
68,2022-23,LAL,Los Angeles Lakers,2022/11/18,LAL vs. DET,W,48.0,43,78,0.551,7,20,0.35,35,40,0.875,7,37,44,29,16.0,2,7,4,24,30,128,7.0
67,2022-23,LAL,Los Angeles Lakers,2022/11/20,LAL vs. SAS,W,48.0,45,85,0.529,12,34,0.353,21,24,0.875,5,49,54,29,15.0,5,2,2,10,17,123,31.0
66,2022-23,LAL,Los Angeles Lakers,2022/11/22,LAL @ PHX,L,48.0,36,85,0.424,4,22,0.182,29,35,0.829,7,38,45,19,17.0,8,7,7,12,22,105,-10.0
65,2022-23,LAL,Los Angeles Lakers,2022/11/25,LAL @ SAS,W,48.0,40,83,0.482,8,27,0.296,17,20,0.85,10,39,49,28,22.0,12,5,3,16,18,105,11.0
64,2022-23,LAL,Los Angeles Lakers,2022/11/26,LAL @ SAS,W,48.0,47,81,0.58,17,33,0.515,32,37,0.865,3,36,39,25,17.0,4,7,5,20,32,143,5.0
63,2022-23,LAL,Los Angeles Lakers,2022/11/28,LAL vs. IND,L,48.0,40,93,0.43,11,31,0.355,24,31,0.774,18,39,57,23,14.0,3,7,10,16,24,115,-1.0
62,2022-23,LAL,Los Angeles Lakers,2022/11/30,LAL vs. POR,W,48.0,48,97,0.495,14,37,0.378,18,26,0.692,13,35,48,28,8.0,5,6,5,18,25,128,19.0
